Time_days,Plasma_concentration_ngPerml,,,,,
0.010,0.146,,,,,
0.021,0.239,,,,,
0.031,0.510,,,,,
0.042,0.691,,,,,
0.052,0.738,,,,,
0.063,0.779,,,,,
0.073,0.874,,,,,
0.083,0.903,,,,,
0.094,0.914,,,,,
0.104,0.817,,,,,
0.115,0.850,,,,,
0.125,0.814,,,,,
0.146,0.711,,,,,
0.167,0.756,,,,,
0.188,0.684,,,,,
0.208,0.699,,,,,
0.229,0.667,,,,,
0.250,0.653,,,,,
0.271,0.621,,,,,
0.292,0.608,,,,,
0.313,0.678,,,,,
0.333,0.662,,,,,
0.375,0.624,,,,,
0.417,0.625,,,,,
0.458,0.609,,,,,
0.5,0.627,,,,,
0.625,0.574,,,,,
0.75,0.550,,,,,
0.875,0.557,,,,,
1,0.617,,,,,
1.125,0.561,,,,,
1.25,0.579,,,,,
1.375,0.565,,,,,
1.5,0.535,,,,,
1.75,0.506,,,,,
2,0.523,,,,,
2.25,0.532,,,,,
2.5,0.570,,,,,
2.75,0.478,,,,,
3,0.590,,,,,
3.25,0.618,,,,,
3.5,0.544,,,,,
3.75,0.475,,,,,
4,0.536,,,,,
4.25,0.504,,,,,
4.5,0.534,,,,,
5,0.524,,,,,
5.5,0.518,,,,,
6,0.529,,,,,
6.5,0.537,,,,,
7,0.534,,,,,
7.5,0.542,,,,,
8,0.527,,,,,
8.5,0.506,,,,,
9,0.515,,,,,
10,0.493,,,,,
11,0.496,,,,,
12,0.512,,,,,
13,0.494,,,,,
14,0.531,,,,,
16,0.519,,,,,
18,0.524,,,,,
20,0.503,,,,,
22,0.531,,,,,
24,0.521,,,,,
28,0.487,,,,,
32,0.448,,,,,
36,0.513,,,,,
40,0.454,,,,,
44,0.565,,,,,
51,0.487,,,,,
58,0.553,,,,,
65,0.529,,,,,
72,0.522,,,,,
86,0.514,,,,,
100,0.485,,,,,
114,0.521,,,,,
128,0.496,,,,,
142,0.492,,,,,
170,0.561,,,,,
198,0.531,,,,,
226,0.530,,,,,
254,0.476,,,,,
282,0.491,,,,,
310,0.485,,,,,
338,0.464,,,,,
366,0.446,,,,,
394,0.449,,,,,
422,0.474,,,,,
450,0.431,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,0.467
