Nom.Parametre.Reel;ParList;Binf;Bsup
"""Free_no_pgcy""";0.005;0.0045;0.0055
"""Free_fet""";0.005;0.0045;0.0055
"""Hct""";0.02;0.018;0.022
"""Hct_foetus""";0.03;0.027;0.033
"""BirthYear""";1970;1773;2167
"""HalfLife""";5.3;4.77;5.83
"""BDW_Var""";1.305;1.1745;1.4355
"""WeightGainPregnancy_Var""";3.172;2.8548;3.4892
"""BDW_foetus_Var""";0.904;0.8136;0.9944
"""Q_inj_rate""";0.0001;0.00009;0.0011
"""Kd_uter2pla_frac_pop""";0.00001;0.000009;0.000011
"""SD_Kd_uter2pla_frac_pop""";2.05;1.845;2.255
"""DecreaseIntake_1""";0.53;0.477;0.583
"""DecreaseIntake_2""";0.05;0.045;0.055
"""Abs""";1;0.9;1.1
"""PC_0""";0.14;0.126;0.154
"""PC_1""";0.3;0.27;0.33
"""PC_2""";0.3;0.27;0.33
"""PC_3""";0.11;0.099;0.121
"""PC_4""";0.09;0.081;0.099
"""PC_5""";0.3;0.27;0.33
"""PC_6""";0.3;0.27;0.33
"""PC_7""";0.09;0.081;0.099
"""PC_8""";0.3;0.27;0.33
"""PC_9""";0.3;0.27;0.33
"""PC_10""";0.09;0.081;0.099
"""PC_11""";0.3;0.27;0.33
"""PC_12""";0.26;0.234;0.286
"""PC_13""";0.3;0.27;0.33
"""PC_14""";0.3;0.27;0.33
"""PC_15""";0.3;0.27;0.33
"""PC_16""";0.3;0.27;0.33
"""PC_17""";0.3;0.27;0.33
"""PC_18""";0.85;0.765;0.935
"""PC_27""";0.26;0.234;0.286
"""PC_29""";0.012;0.0108;0.0132
"""PC_foetus_0""";2.84;2.556;3.124
"""PC_foetus_1""";0.3;0.27;0.33
"""PC_foetus_2""";0.3;0.27;0.33
"""PC_foetus_3""";2.14;1.926;2.354
"""PC_foetus_4""";0.09;0.081;0.099
"""PC_foetus_5""";0.3;0.27;0.33
"""PC_foetus_6""";0.3;0.27;0.33
"""PC_foetus_7""";0.09;0.081;0.099
"""PC_foetus_8""";0.3;0.27;0.33
"""PC_foetus_9""";0.3;0.27;0.33
"""PC_foetus_10""";0.09;0.081;0.099
"""PC_foetus_11""";0.3;0.27;0.33
"""PC_foetus_12""";0.26;0.234;0.286
"""PC_foetus_13""";0.3;0.27;0.33
"""PC_foetus_14""";0.3;0.27;0.33
"""PC_foetus_15""";2.66;2.394;2.926
"""PC_foetus_16""";0.3;0.27;0.33
"""PC_foetus_17""";0.3;0.27;0.33
"""PC_foetus_18""";2.69;2.421;2.959
