Nom.Figures;Nom.Parametre 
Free_no_pgcy;Free_no_pgcy
Free_fet;Free_fet
Hct;Hct
Hct_foetus;Hct_foetus
BirthYear;BirthYear
HalfLife;HalfLife
BDW_Var;BDW_Var
WeightGainPregnancy_Var;WeightGainPregnancy_Var
BDW_foetus_Var;BDW_foetus_Var
Q_inj_rate;Q_inj_rate
Kd_uter2pla_frac_pop;Kd_uter2pla_frac_pop
SD_Kd_uter2pla_frac_pop;SD_Kd_uter2pla_frac_pop
DecreaseIntake_1;DecreaseIntake_1
DecreaseIntake_2;DecreaseIntake_2
Abs;Abs
PC_0;PC_0
PC_1;PC_1
PC_2;PC_2
PC_3;PC_3
PC_4;PC_4
PC_5;PC_5
PC_6;PC_6
PC_7;PC_7
PC_8;PC_8
PC_9;PC_9
PC_10;PC_10
PC_11;PC_11
PC_12;PC_12
PC_13;PC_13
PC_14;PC_14
PC_15;PC_15
PC_16;PC_16
PC_17;PC_17
PC_18;PC_18
PC_27;PC_27
PC_29;PC_29
PC_foetus_0;PC_foetus_0
PC_foetus_1;PC_foetus_1
PC_foetus_2;PC_foetus_2
PC_foetus_3;PC_foetus_3
PC_foetus_4;PC_foetus_4
PC_foetus_5;PC_foetus_5
PC_foetus_6;PC_foetus_6
PC_foetus_7;PC_foetus_7
PC_foetus_8;PC_foetus_8
PC_foetus_9;PC_foetus_9
PC_foetus_10;PC_foetus_10
PC_foetus_11;PC_foetus_11
PC_foetus_12;PC_foetus_12
PC_foetus_13;PC_foetus_13
PC_foetus_14;PC_foetus_14
PC_foetus_15;PC_foetus_15
PC_foetus_16;PC_foetus_16
PC_foetus_17;PC_foetus_17
PC_foetus_18;PC_foetus_18
