"Free_no_pgcy" "Free_fet" "Hct" "Hct_foetus" "BirthYear" "HalfLife" "BDW_Var" "WeightGainPregnancy_Var" "BDW_foetus_Var" "Q_inj_rate" "Kd_uter2pla_frac_pop" "SD_Kd_uter2pla_frac_pop" "DecreaseIntake_1" "DecreaseIntake_2" "Abs" "PC_0" "PC_1" "PC_2" "PC_3" "PC_4" "PC_5" "PC_6" "PC_7" "PC_8" "PC_9" "PC_10" "PC_11" "PC_12" "PC_13" "PC_14" "PC_15" "PC_16" "PC_17" "PC_18" "PC_27" "PC_29" "PC_foetus_0" "PC_foetus_1" "PC_foetus_2" "PC_foetus_3" "PC_foetus_4" "PC_foetus_5" "PC_foetus_6" "PC_foetus_7" "PC_foetus_8" "PC_foetus_9" "PC_foetus_10" "PC_foetus_11" "PC_foetus_12" "PC_foetus_13" "PC_foetus_14" "PC_foetus_15" "PC_foetus_16" "PC_foetus_17" "PC_foetus_18"
"C_ven_16482680" -3.36066666666659e-05 0 0 0 0 0.0591636583333333 0 0 0 0 0 0 -0.00760503333333333 -0.000106966666666666 0.0635409683333334 -0.0207778916666667 -7.48500000000092e-06 -0.00108895166666667 -0.000489350000000001 -0.00019908666666667 -0.000345861666666665 -0.00367088666666667 -0.00716947666666666 -0.000169023333333334 -0.000160840000000001 -0.000957681666666664 -0.000175810000000002 -2.13016666666654e-05 -7.74033333333357e-05 -0.000381188333333334 -0.000577443333333334 -0.00131996 -0.000183056666666667 -0.00549323166666667 4.20000000001809e-07 -0.00140347333333333 4.15999999999962e-06 -1.94333333333297e-06 -3.62500000000127e-06 1.39666666666492e-06 -4.66666666666708e-06 8.22000000000073e-06 -4.7349999999984e-06 3.83333333333596e-06 4.8450000000011e-06 -2.99999999999898e-06 -8.01666666666631e-06 -5.24666666666627e-06 1.3233333333335e-06 5.13333333333477e-06 -8.03833333333314e-06 -1.14183333333353e-05 -1.81333333333538e-06 6.32833333333263e-06 -1.09333333333322e-05
"C_ven_17482680.6968323" -2.39366666666665e-05 0 0 0 0 0.0579762566666667 0 0 0 0 0 0 -0.0147585333333333 -0.00105901166666667 0.054744005 -0.0180895133333333 -8.10833333333192e-06 -0.000901768333333334 -0.000409166666666667 -0.000195228333333334 -0.000287784999999999 -0.00307377666666667 -0.0059526 -0.00015059 -0.000133716666666669 -0.000797351666666667 -0.000146336666666667 -1.82516666666661e-05 -6.56233333333352e-05 -0.000317221666666669 -0.000479331666666666 -0.001099895 -0.000152739999999998 -0.00456465 4.61666666667732e-07 -0.001032235 2.87833333333376e-06 -6.78333333331977e-07 -1.61833333333185e-06 1.57833333333399e-06 -3.67166666666724e-06 8.94833333333368e-06 -2.07666666666629e-06 3.2050000000014e-06 3.32333333333374e-06 9.34999999999825e-07 -5.56166666666728e-06 -3.98166666666746e-06 7.63333333333174e-07 2.50000000000111e-06 -6.01833333333302e-06 -1.09233333333348e-05 1.06666666666912e-07 3.90666666666526e-06 -7.59666666666816e-06
"C_ven_17728925.830276" 0.000161993333333333 0 0 0 0 0.046251055 0 0 0 0 0 0 -0.012728975 -0.00108293 0.04183495 -0.0134288983333333 -5.33666666666646e-06 -0.000607985 -0.000281049999999999 -0.000191055 -0.00019308 -0.002080545 -0.004024255 -0.000763841666666667 -9.17750000000002e-05 -0.000542971666666667 -9.62033333333336e-05 -1.23266666666656e-05 -4.81633333333325e-05 -0.000212555 -0.000321095000000001 -0.00074387 -0.000100915 -0.003084605 2.82166666666621e-06 -0.000757736666666667 3.33333333327652e-08 2.4483333333337e-06 4.05000000000637e-07 6.96666666665513e-07 -2.11999999999967e-06 1.03600000000001e-05 -2.35333333333338e-06 1.77666666666738e-06 2.29833333333337e-06 -2.28000000000071e-06 -6.89000000000013e-06 -5.59999999999862e-06 -3.86666666667513e-07 2.63666666666662e-06 -5.56500000000062e-06 -9.21666666666621e-06 4.02833333333311e-06 3.43166666666742e-06 -3.73833333333471e-06
"C_ven_17901727.830276" -6.69166666666672e-05 0 0 0 0 0.053675225 0 0 0 0 0 0 -0.0157834283333333 -0.00149894833333333 0.0479545466666667 -0.0151452133333333 -6.7849999999999e-06 -0.000729281666666668 -0.000333273333333334 -0.000133286666666666 -0.000232419999999999 -0.00248935833333334 -0.00481158833333333 -0.000150741666666666 -0.000109433333333333 -0.000648106666666667 -0.000118568333333334 -1.55900000000002e-05 -5.40299999999994e-05 -0.000255755 -0.000386288333333334 -0.000891413333333334 -0.000122594999999999 -0.00369510833333333 7.08333333332701e-07 -0.002496715 -5.71666666666591e-07 7.45000000000052e-07 -6.3500000000008e-07 1.33500000000055e-06 -3.46833333333282e-06 6.96333333333332e-06 -1.84833333333324e-06 2.65833333333192e-06 3.21666666666655e-06 -2.13000000000084e-06 -5.8333333333326e-06 -4.62166666666616e-06 -5.08333333333979e-07 3.4783333333333e-06 -6.58666666666674e-06 -9.46999999999947e-06 2.31333333333255e-06 2.74499999999928e-06 -5.87166666666648e-06
"C_ven_18401727" -6.8029999999999e-05 0 0 0 0 0.0531212783333333 0 0 0 0 0 0 -0.01830999 -0.00225344 0.045973 -0.01441242 -6.14166666666671e-06 -0.000708523333333332 -0.000323458333333334 -0.00013026 -0.000226473333333333 -0.00242485833333333 -0.00466665666666667 -0.000141048333333335 -0.000106705000000001 -0.000628395 -0.00011274 -1.47416666666656e-05 -5.34366666666661e-05 -0.000251016666666667 -0.000376005 -0.000867485000000001 -0.000118736666666667 -0.00358947333333333 -1.81666666667356e-07 -0.00218865166666666 -3.566666666667e-07 1.37500000000022e-06 -1.35166666666723e-06 -2.81666666665654e-07 -4.40166666666491e-06 4.89999999999968e-06 -2.36333333333338e-06 3.33500000000139e-06 4.86833333333312e-06 -1.76166666666723e-06 -6.53333333333274e-06 -4.10166666666633e-06 -2.00999999999928e-06 2.15999999999976e-06 -6.80000000000019e-06 -8.77499999999975e-06 1.77333333333349e-06 3.11999999999956e-06 -5.73000000000023e-06
"C_foetus_ven_16482680" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C_foetus_ven_17482680.6968323" -2.51788e-06 0 0 0 0 6.92541266666667e-05 0 0 0 0 0 0 -1.752709e-05 -1.10879666666667e-06 6.58768716666667e-05 -2.16023583333333e-05 -1.41665e-07 -1.25523166666667e-06 -6.07916666666667e-07 -2.01808333333333e-07 -4.04151666666667e-07 -3.68785833333333e-06 -7.35868333333333e-06 6.48376216666667e-05 -2.55468333333334e-07 -9.19478333333334e-07 -2.80428333333335e-07 1.60601666666666e-07 -1.01673333333335e-07 -4.70223333333333e-07 -5.27213333333331e-07 -1.30273833333334e-06 -2.99381666666667e-07 -5.82299e-06 -2.409755e-06 -1.08072666666667e-06 -2.7099085e-05 2.04299999999998e-08 -2.96458333333334e-07 -1.87844016666667e-05 -4.31933333333304e-08 -1.68143333333334e-07 -2.12825000000003e-07 -3.45246666666666e-07 -9.58600000000008e-08 -3.56116666666676e-08 -2.70110000000003e-07 -1.88999999999994e-08 -1.16366666666667e-07 -4.06716666666671e-08 -1.65331666666666e-07 -3.93740333333333e-06 -4.06163333333333e-07 -1.66583333333346e-08 -6.43951666666667e-06
"C_foetus_ven_17728925.830276" -1.40732166666667e-05 0 0 0 0 0.000378407383333333 0 0 0 0 0 0 -0.000102167966666667 -8.30751666666667e-06 0.0003464713 -0.0001121935 -1.20000000000516e-09 -5.07896666666667e-06 -2.36706666666668e-06 -1.50578333333333e-06 -1.59850000000001e-06 -1.74914833333334e-05 -3.39006e-05 0.0003400703 -7.11783333333339e-07 -4.49828333333333e-06 -8.1936666666666e-07 -9.26833333333319e-08 -4.14099999999982e-07 -1.81231666666668e-06 -2.72301666666668e-06 -6.24028333333334e-06 -8.80850000000003e-07 -2.57626666666667e-05 -1.734105e-05 -6.35059999999999e-06 -0.000169191366666667 -2.39416666666661e-07 -1.81238333333334e-06 -7.40634833333333e-05 -5.57833333333385e-08 -5.25266666666672e-07 -1.17175e-06 -5.13965e-06 -7.02666666666704e-08 -1.97233333333321e-07 -1.51213333333332e-06 -3.64283333333334e-07 -8.89999999999973e-08 -5.98666666666726e-08 -7.63100000000006e-07 -1.271825e-05 -2.11186666666667e-06 -2.45066666666666e-07 -3.314605e-05
"C_foetus_ven_17901727.830276" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C_foetus_ven_18401727" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
