"Free_no_pgcy" "Free_fet" "Hct" "Hct_foetus" "BirthYear" "HalfLife" "BDW_Var" "WeightGainPregnancy_Var" "BDW_foetus_Var" "Q_inj_rate" "Kd_uter2pla_frac_pop" "SD_Kd_uter2pla_frac_pop" "DecreaseIntake_1" "DecreaseIntake_2" "Abs" "PC_0" "PC_1" "PC_2" "PC_3" "PC_4" "PC_5" "PC_6" "PC_7" "PC_8" "PC_9" "PC_10" "PC_11" "PC_12" "PC_13" "PC_14" "PC_15" "PC_16" "PC_17" "PC_18" "PC_27" "PC_29" "PC_foetus_0" "PC_foetus_1" "PC_foetus_2" "PC_foetus_3" "PC_foetus_4" "PC_foetus_5" "PC_foetus_6" "PC_foetus_7" "PC_foetus_8" "PC_foetus_9" "PC_foetus_10" "PC_foetus_11" "PC_foetus_12" "PC_foetus_13" "PC_foetus_14" "PC_foetus_15" "PC_foetus_16" "PC_foetus_17" "PC_foetus_18"
"C_ven_16482680" 0.000130449999999999 0 0 0 0 0.0591636583333333 0 0 0 0 0 0 0.00760503333333333 0.000116683333333333 0.0635409683333334 0.0207778916666667 0.000129834999999999 0.00108895166666667 0.00048957 0.000223280000000003 0.000350861666666664 0.00367088666666667 0.00716947666666666 0.000196086666666666 0.00019107 0.000957681666666664 0.000207956666666668 0.000136021666666667 0.000143733333333335 0.000385071666666668 0.000578353333333333 0.00131996 0.000206726666666668 0.00549323166666667 0.000127503333333333 0.00140347333333333 0.000128453333333336 0.000125139999999999 0.000125568333333333 0.00013198 0.000123416666666667 0.000122783333333331 0.000124478333333333 0.00012172 0.000125955 0.000122150000000001 0.000119293333333335 0.000120286666666668 0.00012436 0.000129823333333333 0.000126568333333333 0.000126141666666666 0.000122500000000001 0.000120498333333333 0.000132526666666666
"C_ven_17482680.6968323" 0.000103106666666667 0 0 0 0 0.0579762566666667 0 0 0 0 0 0 0.0147585333333333 0.00105901166666667 0.054744005 0.0180895133333333 9.97449999999991e-05 0.000901768333333334 0.000409313333333334 0.000206755000000001 0.000291448333333333 0.00307377666666667 0.0059526 0.000168313333333333 0.000156153333333336 0.000797351666666667 0.000169663333333333 0.000107308333333333 0.000113579999999999 0.000319015000000002 0.000479674999999999 0.001099895 0.000169053333333331 0.00456465 0.000101801666666665 0.001032235 9.92549999999983e-05 9.80116666666678e-05 9.94750000000023e-05 0.000102155 9.70116666666645e-05 9.60749999999992e-05 9.94233333333328e-05 9.64050000000005e-05 9.80333333333321e-05 9.61816666666677e-05 9.3568333333333e-05 9.55416666666661e-05 9.76033333333339e-05 0.000102226666666667 0.000100485 9.86333333333334e-05 9.51933333333329e-05 9.68933333333339e-05 0.000103513333333335
"C_ven_17728925.830276" 0.000170186666666666 0 0 0 0 0.046251055 0 0 0 0 0 0 0.012728975 0.00108293 0.04183495 0.0134288983333333 8.89166666666667e-05 0.000607985 0.000281753333333332 0.000197091666666667 0.00019931 0.002080545 0.004024255 0.000763841666666667 0.000119798333333333 0.000542971666666667 0.000125919999999999 9.37833333333342e-05 9.48800000000007e-05 0.000216338333333334 0.000321568333333335 0.00074387 0.000121035 0.003084605 9.23949999999998e-05 0.000757736666666667 9.11000000000001e-05 8.77416666666662e-05 8.84383333333332e-05 9.26833333333342e-05 8.73366666666669e-05 8.49099999999997e-05 8.7480000000001e-05 8.82333333333341e-05 8.78650000000004e-05 8.8423333333333e-05 8.43766666666663e-05 8.67433333333334e-05 8.54466666666652e-05 9.09266666666669e-05 8.81949999999997e-05 8.85666666666669e-05 8.64983333333325e-05 8.66383333333328e-05 9.08316666666677e-05
"C_ven_17901727.830276" 0.000105949999999999 0 0 0 0 0.053675225 0 0 0 0 0 0 0.0157834283333333 0.00149894833333333 0.0479545466666667 0.0151452133333333 8.62883333333327e-05 0.000729281666666668 0.000333513333333334 0.000148916666666666 0.000236696666666666 0.00248935833333334 0.00481158833333333 0.000162565 0.00013044 0.000648106666666667 0.000141321666666667 9.37466666666669e-05 9.48666666666663e-05 0.000257815 0.000386648333333334 0.000891413333333334 0.000138061666666666 0.00369510833333333 8.80616666666659e-05 0.002496715 8.83383333333351e-05 8.48716666666668e-05 8.66683333333332e-05 9.1548333333333e-05 8.46849999999996e-05 8.34333333333333e-05 8.5741666666666e-05 8.42283333333336e-05 8.42833333333321e-05 8.5383333333332e-05 8.11900000000004e-05 8.46583333333332e-05 8.46216666666648e-05 9.01516666666665e-05 8.6586666666667e-05 8.75866666666672e-05 8.41500000000001e-05 8.4094999999998e-05 8.90183333333345e-05
"C_ven_18401727" 0.000101493333333334 0 0 0 0 0.0531212783333333 0 0 0 0 0 0 0.01830999 0.00225344 0.045973 0.01441242 7.96416666666663e-05 0.000708523333333332 0.000323515 0.000143153333333334 0.00022918 0.00242485833333333 0.00466665666666667 0.000150435 0.000123688333333334 0.000628395 0.000132606666666666 8.45216666666671e-05 8.90700000000004e-05 0.00025222 0.000376191666666666 0.000867485000000001 0.000130953333333334 0.00358947333333333 7.97816666666664e-05 0.00218865166666666 8.09833333333349e-05 7.74283333333331e-05 8.04949999999995e-05 8.34750000000004e-05 7.84416666666671e-05 7.71366666666675e-05 7.82033333333347e-05 7.72583333333348e-05 7.78483333333333e-05 8.00949999999993e-05 7.40400000000002e-05 7.85983333333343e-05 7.86466666666674e-05 8.2416666666667e-05 7.84366666666669e-05 8.05749999999998e-05 7.73633333333329e-05 7.70766666666671e-05 8.20366666666671e-05
"C_foetus_ven_16482680" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C_foetus_ven_17482680.6968323" 3.75469666666667e-06 0 0 0 0 6.92541266666667e-05 0 0 0 0 0 0 1.75638533333333e-05 1.69933666666667e-06 6.58768716666667e-05 2.1671625e-05 6.30648333333333e-07 1.794275e-06 2.81569e-06 6.97498333333334e-07 1.85454833333334e-06 3.999905e-06 7.42007666666667e-06 6.48376216666667e-05 6.76581666666668e-07 1.64886166666667e-06 1.85289833333333e-06 2.759055e-06 4.26089999999999e-07 3.10903e-06 1.22852666666667e-06 2.826335e-06 6.49608333333333e-07 5.99515e-06 2.851685e-06 1.68729666666667e-06 2.71193416666667e-05 7.65323333333336e-07 6.53848333333333e-07 1.87844016666667e-05 6.37959999999999e-07 6.24823333333333e-07 7.2815166666667e-07 7.51256666666667e-07 7.34773333333334e-07 9.08588333333333e-07 7.06246666666668e-07 6.56796666666668e-07 6.79896666666666e-07 7.21858333333334e-07 7.27728333333334e-07 4.34132e-06 7.71266666666666e-07 7.06354999999998e-07 6.66944333333334e-06
"C_foetus_ven_17728925.830276" 1.40732166666667e-05 0 0 0 0 0.000378407383333333 0 0 0 0 0 0 0.000102167966666667 8.30751666666667e-06 0.0003464713 0.0001121935 9.14666666666669e-07 5.07896666666667e-06 2.46490000000002e-06 1.66868333333333e-06 1.83333333333333e-06 1.74914833333334e-05 3.39006e-05 0.0003400703 1.15575e-06 4.49915e-06 1.39216666666667e-06 1.33795e-06 9.08666666666658e-07 2.05358333333334e-06 2.77068333333335e-06 6.24028333333334e-06 1.21184999999999e-06 2.57626666666667e-05 1.734105e-05 6.35059999999999e-06 0.000169191366666667 9.9121666666667e-07 1.91671666666667e-06 7.40634833333333e-05 9.4368333333333e-07 1.09836666666667e-06 1.45698333333333e-06 5.14035e-06 9.90233333333336e-07 1.08803333333334e-06 1.66456666666665e-06 1.05091666666667e-06 9.84600000000003e-07 1.01953333333334e-06 1.1839e-06 1.271825e-05 2.1755e-06 1.00286666666667e-06 3.314605e-05
"C_foetus_ven_17901727.830276" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C_foetus_ven_18401727" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
