"Free_no_pgcy" "Free_fet" "Hct" "Hct_foetus" "BirthYear" "HalfLife" "BDW_Var" "WeightGainPregnancy_Var" "BDW_foetus_Var" "Q_inj_rate" "Kd_uter2pla_frac_pop" "SD_Kd_uter2pla_frac_pop" "DecreaseIntake_1" "DecreaseIntake_2" "Abs" "PC_0" "PC_1" "PC_2" "PC_3" "PC_4" "PC_5" "PC_6" "PC_7" "PC_8" "PC_9" "PC_10" "PC_11" "PC_12" "PC_13" "PC_14" "PC_15" "PC_16" "PC_17" "PC_18" "PC_27" "PC_29" "PC_foetus_0" "PC_foetus_1" "PC_foetus_2" "PC_foetus_3" "PC_foetus_4" "PC_foetus_5" "PC_foetus_6" "PC_foetus_7" "PC_foetus_8" "PC_foetus_9" "PC_foetus_10" "PC_foetus_11" "PC_foetus_12" "PC_foetus_13" "PC_foetus_14" "PC_foetus_15" "PC_foetus_16" "PC_foetus_17" "PC_foetus_18"
"C_ven_16482680" 0.000165148937879703 0 0 0 0 0.00439457419268845 0 0 0 0 0 0 0.000583221061696853 6.43004241396945e-05 0.00441932704026523 0.00203630607831862 0.000171038750080293 0.000198810732255677 0.000180433568555163 0.00017442513821107 0.000175943961809268 0.00044686981177197 0.000790628053411375 0.000166082313967473 0.000172774003737477 0.000195683796043887 0.00017871662914663 0.000178680912924811 0.000169575603875894 0.000176513669428008 0.000179042865205275 0.000222277104233933 0.00016664157672343 0.000611148017993285 0.000167425387608844 0.000242221550356766 0.000171256048492474 0.000165501452721948 0.000170706774779837 0.000176097554099059 0.000162829775403579 0.00016382315215114 0.000167988350703502 0.000161481263373318 0.000167475899548883 0.000165006024433081 0.00015903487609338 0.000158247092892969 0.000164724972116134 0.000169881225395429 0.000167303252668182 0.000165180703055425 0.000162905818445694 0.000162378277529189 0.000175670066301622
"C_ven_17482680.6968323" 0.000129960605882335 0 0 0 0 0.00429225270544613 0 0 0 0 0 0 0.00111133399115953 0.000130651513635463 0.00433612652803525 0.00190634315922648 0.00013152761222141 0.000164398981208049 0.000143737644722981 0.000139209322362601 0.000140814427647131 0.000389637693375226 0.000702742337096539 0.000130528948410073 0.00013684736928512 0.000156158652123302 0.000141740268187442 0.000140483544157161 0.000130083818832874 0.000138635545829146 0.000144863700076773 0.000183268522464514 0.000129653393331613 0.000537395032467665 0.000133181138853449 0.000194978750521234 0.000132316678677458 0.000129939854919313 0.000134227235409682 0.00013616106201778 0.000127783868408176 0.000127504068153643 0.000132065286152242 0.000125553529962755 0.000129773550493699 0.000128793437859804 0.000124275896590905 0.000124972354622835 0.000129005830375753 0.00013274182692293 0.000133463980026522 0.000129368295318488 0.000125929950886626 0.000129207990784861 0.000136500145098216
"C_ven_17728925.830276" 0.000114444585167605 0 0 0 0 0.00341367210514406 0 0 0 0 0 0 0.000962628643901081 0.000142029843572942 0.00344354834847485 0.00145040336846748 0.000114901334849006 0.000130784502245849 0.000118155911534469 0.00012151877270798 0.000122831710102825 0.000275901118482614 0.000492320807533369 0.000143898830678685 0.000115592903881515 0.000129329416889867 0.000119544638890055 0.000117665692411707 0.000112715488895683 0.000119786482258589 0.00012121265351134 0.000145226058793169 0.000109896028746977 0.0003736877712935 0.000118756823159496 0.000154932308545838 0.000118392422285142 0.000114259365187666 0.00011401064015141 0.000118556541964295 0.000112460425892117 0.000110018796788357 0.000113402845470987 0.000111950304915935 0.000113774159832348 0.000113121828787145 0.000108369222822357 0.000111489326259826 0.000109507626158424 0.000115812441566619 0.000113406815358065 0.000112622368846652 0.000109860518525778 0.000110328695655182 0.000116465362710408
"C_ven_17901727.830276" 0.000116074663446253 0 0 0 0 0.00396192733377692 0 0 0 0 0 0 0.00119327908762199 0.000176635617475087 0.00400792597356075 0.00165708124942639 0.000113226067010137 0.000138087228357344 0.000122901229543624 0.000120075088841498 0.00012486914178145 0.000324211382787623 0.000586373759971919 0.000116010464195274 0.000116181822992118 0.000133538000908264 0.000123103171496511 0.000120306682358222 0.000110098050303721 0.000121151210989646 0.000125064497552234 0.000158139300317699 0.000112451261714847 0.000446573307263686 0.000115544755489275 0.000332744851567352 0.000115429246714638 0.000111752741876804 0.000114610362044039 0.000119009151645566 0.000110341206976164 0.000109111057034618 0.00011247126845508 0.000107973118116977 0.000110816966762063 0.000111746764285221 0.00010669976755341 0.000109637442962954 0.000110953792219537 0.000115789872626825 0.00011355029988484 0.000112925265818172 0.000108974699288803 0.000110603902273825 0.000116701833097875
"C_ven_18401727" 0.000107418118567779 0 0 0 0 0.00392427245056217 0 0 0 0 0 0 0.00139643210451583 0.000255139496281079 0.00400101825336131 0.00161297854882032 0.000104430011129209 0.000131250848109923 0.000113353785459068 0.000110289551064292 0.000113217650630068 0.000317714901760159 0.000580686257597935 0.000105843180110946 0.000106453643107733 0.000124575462265152 0.000113121050673333 0.000108140301511149 0.000101086057627164 0.000109370295710517 0.000115497205938411 0.000150059250513843 0.000103225958345051 0.000441946169591748 0.000104276496907268 0.000310360691025029 0.000105402188303076 0.000101934115131867 0.00010499325069272 0.000107312863177632 0.000100736970157937 9.95136711639492e-05 0.000102142835899502 9.85396228768984e-05 0.000101475527711814 0.000103902253680979 9.68701848950983e-05 0.000100361770244418 0.000102808919936273 0.000105446131365514 0.000101782817627469 0.000103820399115466 9.9682315759548e-05 0.000100265380487495 0.000107253455595008
"C_foetus_ven_16482680" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C_foetus_ven_17482680.6968323" 3.95790470784574e-06 0 0 0 0 8.49155114807722e-06 0 0 0 0 0 0 4.03747875466511e-06 1.95599187984017e-06 8.96283778472206e-06 5.17485644913941e-06 1.61909742219883e-06 2.37693123026392e-06 4.14555517709479e-06 1.62751143999259e-06 2.9162329340112e-06 2.81065193451721e-06 3.4676062939438e-06 8.14796723761839e-06 1.58242603479507e-06 2.34754960729038e-06 2.96462426131265e-06 3.97758731763644e-06 1.10506151403179e-06 4.12103614129857e-06 2.17141792032719e-06 3.62771925766478e-06 1.47499605099769e-06 3.74709418932225e-06 2.31248936930946e-06 1.91885295214116e-06 5.25776357917683e-06 1.89177317431697e-06 1.22344811050512e-06 4.54696458011044e-06 1.57641173729346e-06 1.34838004797048e-06 1.49305898616828e-06 1.37094679808066e-06 1.85125744595339e-06 1.98586245621476e-06 1.53506235990374e-06 1.52940666137132e-06 1.68265285175178e-06 1.69464723723792e-06 1.65803624114552e-06 2.96905884751118e-06 1.36911968547183e-06 1.66062623695818e-06 4.10749805924429e-06
"C_foetus_ven_17728925.830276" 2.76881057868387e-06 0 0 0 0 3.97930259748609e-05 0 0 0 0 0 0 1.09746779593187e-05 1.66422874741202e-06 4.01808301014285e-05 1.5012644319429e-05 1.24572038120802e-06 1.60033722498671e-06 1.68904556988834e-06 1.32627999579211e-06 1.564189884749e-06 3.03074676406531e-06 5.07915519131454e-06 3.7837224640273e-05 1.32830373847813e-06 1.54822798588746e-06 1.54187731392831e-06 1.71843575156757e-06 1.20989831507516e-06 1.71864516628549e-06 1.51944536757938e-06 1.88329480702399e-06 1.24624659467595e-06 4.04228306600602e-06 3.0217723193342e-06 1.80264304278953e-06 2.23391185172138e-05 1.29855949028351e-06 1.29442123980886e-06 1.11501208915248e-05 1.27719255769854e-06 1.3173583945937e-06 1.36396801103398e-06 1.48625494977147e-06 1.322473431104e-06 1.40577408161708e-06 1.24037323109582e-06 1.33289934451446e-06 1.30839375860668e-06 1.36042520520652e-06 1.29845996363616e-06 2.48628447536416e-06 1.2668428235691e-06 1.29771648044524e-06 5.20348433819773e-06
"C_foetus_ven_17901727.830276" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C_foetus_ven_18401727" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
